,S.F.Ratio,Personal,Books
0,18.1,2200,450
1,12.2,1500,750
2,12.9,1165,400
3,7.7,875,450
4,11.9,1500,800
5,9.4,675,500
6,11.5,1500,500
7,13.7,850,450
8,11.3,500,300
9,11.5,1800,660
10,11.3,600,500
11,9.9,600,400
12,13.3,1000,600
13,15.3,400,400
14,11.1,2449,650
15,14.7,1400,450
16,8.4,1598,660
17,12.1,1100,550
18,11.5,1320,900
19,23.1,2000,500
20,11.3,1100,400
21,18.3,2000,96
22,12.7,1615,350
23,18.9,2100,700
24,12.6,800,500
25,19.6,1000,450
26,13.8,500,500
27,16.7,1908,600
28,12.8,950,540
29,12.7,821,540
30,10.4,1021,600
31,13.0,1150,400
32,22.4,1350,750
33,11.0,2250,400
34,17.6,1000,1000
35,9.7,500,500
36,10.4,750,750
37,10.3,850,600
38,12.6,1800,600
39,18.5,1346,600
40,12.2,800,400
41,13.1,1290,750
42,13.2,2480,300
43,11.1,900,650
44,11.1,715,355
45,19.6,1800,660
46,14.1,250,350
47,10.1,500,600
48,17.5,850,630
49,16.3,2375,350
50,11.6,1700,550
51,8.8,1400,500
52,11.7,800,600
53,13.8,2500,650
54,14.0,900,400
55,14.3,1000,500
56,18.0,1680,500
57,17.8,1500,450
58,13.3,900,400
59,11.9,1025,475
60,11.2,875,1495
61,21.1,1700,600
62,10.2,900,500
63,14.4,1522,2000
64,9.8,1000,410
65,13.7,700,500
66,12.6,2000,500
67,13.1,1500,600
68,13.2,875,560
69,20.5,1220,860
70,7.6,1100,720
71,12.3,1200,500
72,14.2,1200,800
73,8.8,950,450
74,10.9,1600,500
75,16.5,300,300
76,13.9,1000,425
77,12.4,576,612
78,19.8,2091,612
79,21.2,1926,600
80,14.8,1210,400
81,21.8,500,600
82,17.7,1300,600
83,14.6,1130,400
84,12.1,800,500
85,12.1,2134,300
86,10.4,550,550
87,9.2,1250,450
88,17.8,930,480
89,13.6,500,400
90,15.9,1300,500
91,2.9,1460,525
92,14.7,700,400
93,13.5,1860,600
94,9.3,1100,526
95,14.3,500,600
96,11.7,1000,500
97,15.3,1000,570
98,9.5,760,500
99,11.3,1900,600
100,6.8,620,2340
101,13.5,600,650
102,16.7,985,500
103,19.7,2250,300
104,18.1,1416,654
105,15.2,600,600
106,11.4,900,600
107,12.8,1100,600
108,9.3,850,400
109,8.3,850,700
110,9.3,800,400
111,11.1,900,600
112,21.2,1889,525
113,16.9,1000,500
114,9.6,850,500
115,10.5,950,500
116,11.0,900,350
117,15.8,1300,700
118,18.0,1618,800
119,18.1,1900,600
120,12.7,2200,500
121,12.1,1000,400
122,10.2,1000,500
123,10.5,750,500
124,12.9,900,550
125,17.2,2316,666
126,11.1,1150,400
127,11.9,1000,500
128,10.4,2250,630
129,11.5,700,600
130,13.1,600,500
131,11.5,1000,450
132,11.4,1000,380
133,14.3,1500,800
134,14.0,1200,600
135,9.5,1300,450
136,11.6,1146,450
137,11.3,900,400
138,12.1,800,600
139,11.1,500,500
140,11.3,1200,450
141,19.2,1800,470
142,15.3,900,400
143,14.7,1500,500
144,5.9,300,550
145,12.8,950,450
146,12.1,1825,450
147,13.1,1515,570
148,12.1,1000,400
149,10.7,500,600
150,10.2,900,500
151,12.2,800,550
152,6.5,2055,650
153,14.1,500,400
154,13.0,600,400
155,14.6,1320,680
156,12.6,1450,450
157,22.2,500,500
158,4.7,1100,550
159,12.0,1011,600
160,12.8,1159,400
161,17.1,1200,500
162,11.6,600,500
163,11.1,950,550
164,11.2,1250,595
165,16.5,2000,600
166,14.1,2307,500
167,15.1,1000,400
168,12.7,1800,600
169,12.5,2800,450
170,12.4,1413,450
171,15.0,1675,560
172,10.2,660,520
173,13.2,750,500
174,5.0,1162,625
175,10.6,600,600
176,13.2,1700,500
177,14.0,2200,600
178,15.7,1500,530
179,13.6,1230,450
180,16.9,500,650
181,16.2,1730,120
182,11.4,1300,600
183,17.3,700,450
184,12.8,1000,600
185,12.8,750,500
186,21.5,550,450
187,11.3,1700,450
188,18.9,1777,490
189,16.5,3020,570
190,13.9,1600,700
191,5.0,870,600
192,19.3,1888,450
193,13.5,1246,475
194,10.6,670,330
195,18.1,1323,600
196,15.1,1100,700
197,15.1,766,350
198,12.5,1600,500
199,18.1,2140,500
200,10.6,1500,750
201,13.9,3028,800
202,17.4,650,400
203,23.1,1020,600
204,21.5,1500,350
205,14.4,1735,600
206,19.1,2500,500
207,19.1,2430,400
208,14.9,1000,600
209,12.5,1345,525
210,17.6,800,500
211,16.1,1600,600
212,10.5,1818,630
213,13.5,1250,600
214,13.3,1380,500
215,15.2,500,500
216,20.1,1100,500
217,13.5,1050,400
218,19.3,1050,580
219,7.6,950,700
220,13.3,550,550
221,7.2,1700,670
222,19.3,1164,795
223,19.0,3450,720
224,12.2,800,500
225,12.1,500,500
226,27.6,1830,531
227,14.7,2400,600
228,14.2,1200,400
229,9.9,1230,600
230,9.2,1200,500
231,15.3,1000,300
232,23.6,880,550
233,20.6,1000,500
234,14.0,850,400
235,13.0,1300,550
236,14.3,800,400
237,9.5,400,400
238,18.4,350,525
239,15.6,1050,450
240,12.5,700,400
241,7.8,500,500
242,9.6,800,300
243,13.0,550,450
244,13.3,600,660
245,14.0,2000,600
246,10.6,1200,500
247,13.7,2140,700
248,17.7,910,700
249,12.3,700,500
250,9.9,1920,500
251,8.2,900,700
252,13.0,1902,500
253,13.1,1200,500
254,12.0,750,400
255,10.6,1000,400
256,12.1,600,600
257,13.9,1000,1000
258,11.1,850,500
259,14.4,690,450
260,12.5,1100,465
261,15.0,1500,500
262,11.4,1100,500
263,11.8,1300,300
264,12.9,1840,600
265,22.0,1500,350
266,11.6,1500,650
267,15.6,1000,600
268,12.3,700,500
269,21.0,2605,537
270,12.9,650,400
271,11.2,1000,500
272,11.4,2775,750
273,16.6,2500,600
274,21.3,2000,600
275,39.8,1000,700
276,16.0,1150,570
277,19.2,2055,640
278,11.5,1000,634
279,17.9,732,500
280,17.0,400,400
281,14.9,1500,400
282,13.3,1350,400
283,14.5,450,600
284,3.3,1040,500
285,14.4,624,500
286,10.6,1700,500
287,12.7,420,450
288,18.5,2000,600
289,12.4,1400,500
290,16.1,1150,500
291,11.3,1300,500
292,11.1,480,750
293,13.3,750,600
294,15.6,1795,400
295,10.7,3000,600
296,12.7,800,400
297,14.2,1100,600
298,15.1,3160,450
299,10.5,1000,600
300,12.5,1500,750
301,10.7,1320,920
302,17.2,1000,500
303,18.4,1463,508
304,16.1,1590,600
305,17.0,1702,528
306,10.1,975,525
307,13.3,900,400
308,12.3,1125,400
309,12.5,1130,750
310,12.0,1000,400
311,27.8,805,550
312,20.8,1400,600
313,12.3,950,450
314,14.3,1200,500
315,14.6,1300,600
316,12.6,1400,350
317,24.1,4200,1000
318,17.8,900,500
319,10.4,900,800
320,16.1,500,225
321,18.4,2200,550
322,14.2,1200,500
323,10.5,1655,500
324,15.9,2242,600
325,20.0,1656,618
326,14.7,900,600
327,14.2,1328,545
328,11.7,750,600
329,6.2,2000,700
330,13.8,400,600
331,14.0,900,500
332,12.4,870,450
333,12.6,600,500
334,11.9,700,500
335,10.8,950,550
336,17.6,1200,450
337,11.8,1450,525
338,13.6,1800,500
339,11.3,400,450
340,19.0,1660,450
341,8.4,1100,500
342,13.2,810,470
343,17.6,1200,550
344,13.5,1950,600
345,16.6,1560,700
346,6.8,1300,600
347,17.6,2102,650
348,10.3,1075,575
349,11.7,1100,350
350,10.6,750,500
351,11.1,1642,500
352,13.1,1350,425
353,11.8,700,600
354,10.1,1600,725
355,15.7,1900,600
356,17.7,800,500
357,11.0,1525,400
358,9.8,2740,600
359,9.2,1500,400
360,16.7,1000,425
361,13.9,1520,450
362,16.8,1000,375
363,28.8,2256,540
364,14.1,1200,475
365,17.6,1382,500
366,14.0,600,504
367,17.0,1200,900
368,15.4,4913,1100
369,16.8,1258,450
370,12.0,1000,550
371,11.4,965,450
372,12.7,1350,550
373,16.7,2075,1000
374,16.5,700,600
375,15.9,1479,480
376,15.8,1500,600
377,20.3,400,200
378,17.4,900,400
379,11.6,460,400
380,14.2,1740,530
381,16.4,1400,550
382,17.6,2300,550
383,21.5,950,700
384,11.1,2958,500
385,18.1,1000,600
386,15.2,1250,550
387,17.8,600,250
388,13.0,1000,500
389,18.6,2100,850
390,9.0,750,750
391,11.7,500,500
392,10.7,1125,550
393,11.3,2285,500
394,13.6,1200,500
395,12.8,900,550
396,15.3,1400,250
397,11.9,1278,630
398,16.7,1150,400
399,19.8,600,600
400,12.8,850,600
401,20.2,940,700
402,13.4,800,600
403,18.3,500,650
404,13.6,800,550
405,13.5,1850,700
406,13.7,1100,600
407,7.8,1000,450
408,11.4,1500,500
409,14.2,650,450
410,14.2,1000,500
411,16.7,1651,600
412,17.5,1300,600
413,12.7,1295,600
414,16.4,1800,450
415,17.0,2000,600
416,13.1,970,400
417,15.7,1100,400
418,12.9,1750,600
419,21.7,2342,620
420,17.3,1750,470
421,21.7,1630,250
422,14.8,822,450
423,14.9,1800,300
424,6.8,1585,759
425,13.1,800,500
426,12.1,600,400
427,19.7,650,400
428,10.1,1119,575
429,10.5,1152,558
430,13.1,4110,600
431,14.5,825,600
432,20.4,2300,550
433,12.1,550,550
434,15.1,1290,515
435,16.2,1900,500
436,15.3,3100,800
437,13.9,840,420
438,13.3,1500,500
439,14.9,1576,616
440,13.8,1115,660
441,11.0,1516,600
442,12.3,1926,630
443,10.9,1100,450
444,15.0,1498,550
445,18.1,2394,512
446,11.6,700,500
447,20.1,900,500
448,12.2,1915,400
449,12.9,1664,600
450,11.6,940,600
451,13.2,750,600
452,13.4,500,500
453,10.4,850,650
454,16.1,750,800
455,14.5,1200,400
456,10.4,2486,436
457,19.4,1582,598
458,13.4,1429,554
459,8.4,1575,675
460,18.4,1100,450
461,18.2,1060,570
462,14.0,1900,610
463,16.3,1080,450
464,12.0,500,1000
465,19.6,900,500
466,17.8,1655,600
467,10.7,900,400
468,9.2,920,370
469,11.8,450,500
470,10.3,700,450
471,15.4,1100,1230
472,10.8,1500,550
473,12.3,3100,700
474,9.4,650,350
475,12.2,1100,600
476,13.0,1200,450
477,10.7,1500,500
478,11.3,625,600
479,16.4,730,500
480,13.3,750,955
481,12.9,950,550
482,22.1,800,800
483,19.5,2009,690
484,18.6,2009,690
485,17.4,2009,690
486,14.8,600,400
487,14.1,1500,500
488,14.5,1120,450
489,18.9,1884,350
490,12.5,1000,450
491,19.3,1235,400
492,12.0,600,500
493,14.8,950,600
494,27.2,800,500
495,17.4,1690,350
496,11.2,950,650
497,4.6,6800,800
498,9.9,1525,500
499,18.8,820,400
500,10.2,1700,500
501,14.5,750,500
502,10.0,550,550
503,12.1,450,500
504,12.3,900,500
505,13.7,794,600
506,13.0,620,400
507,11.2,2000,500
508,17.9,1450,600
509,14.7,1650,569
510,19.5,2400,612
511,13.9,1278,630
512,6.1,700,600
513,16.1,1600,1200
514,11.8,1488,500
515,8.2,800,600
516,16.8,1250,600
517,12.2,1500,500
518,14.4,1000,650
519,11.2,2000,350
520,18.8,1700,450
521,13.2,2000,500
522,14.1,1090,575
523,7.2,1090,475
524,8.9,1200,500
525,15.8,1400,550
526,14.8,1700,500
527,12.7,700,500
528,10.3,1050,500
529,15.0,1970,500
530,17.1,2150,200
531,19.6,1022,450
532,18.6,1818,630
533,16.5,2216,221
534,13.5,1802,576
535,15.9,1000,400
536,19.9,1360,500
537,16.5,1800,600
538,13.0,1651,430
539,11.8,1500,550
540,11.3,1050,600
541,10.6,900,600
542,12.5,2400,660
543,15.4,665,385
544,17.7,1050,500
545,7.2,800,275
546,14.5,800,400
547,11.5,825,650
548,14.5,500,300
549,16.1,1584,630
550,11.6,1250,675
551,16.2,1736,700
552,15.1,1100,425
553,14.0,600,600
554,16.1,1750,500
555,10.9,2150,450
556,12.5,1365,600
557,19.0,750,450
558,19.5,1125,711
559,13.0,800,480
560,17.4,1560,700
561,18.0,1000,700
562,13.6,957,708
563,10.5,1200,600
564,19.0,705,500
565,22.0,1500,500
566,18.7,1230,550
567,17.8,1274,630
568,16.3,1481,620
569,19.1,650,600
570,15.3,1500,550
571,17.9,1380,600
572,15.1,1000,500
573,14.9,1362,1125
574,13.9,800,400
575,6.5,600,500
576,11.3,960,635
577,10.0,1500,400
578,15.5,1400,1000
579,14.2,1250,450
580,8.9,3158,400
581,23.1,2144,600
582,17.4,650,600
583,14.8,2400,650
584,13.8,1700,490
585,18.2,1700,600
586,14.5,1800,600
587,17.1,779,400
588,11.6,1350,700
589,19.0,1200,600
590,12.1,1000,500
591,14.4,1000,700
592,12.8,1323,468
593,10.4,680,500
594,8.3,900,500
595,10.4,500,550
596,9.6,490,500
597,9.1,800,350
598,21.9,800,450
599,12.2,1425,600
600,14.1,600,500
601,11.5,1024,450
602,19.2,1890,518
603,6.7,2200,750
604,14.8,2000,500
605,15.8,1933,636
606,16.1,1818,790
607,22.2,1600,700
608,2.5,750,400
609,5.3,1254,500
610,10.8,1851,556
611,16.0,2300,700
612,13.4,1200,500
613,14.8,900,500
614,18.3,1300,530
615,15.9,1350,400
616,13.5,2166,600
617,16.5,1500,400
618,15.8,960,700
619,13.4,1530,630
620,14.7,1755,525
621,10.7,1440,500
622,11.8,1281,687
623,17.4,1982,500
624,10.0,3228,630
625,11.1,1405,525
626,13.7,2681,700
627,14.1,2298,630
628,11.1,2440,530
629,15.9,1647,450
630,15.1,400,600
631,15.2,1675,400
632,18.4,2768,494
633,18.1,1550,550
634,16.7,1400,500
635,15.0,1250,500
636,5.9,1985,630
637,11.5,1600,476
638,19.0,2610,753
639,14.6,1500,600
640,12.2,2910,714
641,20.3,550,600
642,12.7,1983,600
643,14.4,1435,700
644,13.4,4288,500
645,16.6,1200,550
646,18.9,600,300
647,15.1,2070,500
648,11.4,2500,900
649,17.5,2450,650
650,13.0,750,600
651,8.9,1200,550
652,16.8,1900,600
653,15.5,1300,600
654,19.1,1500,500
655,15.9,1200,450
656,17.8,2604,600
657,22.6,1700,450
658,21.5,2286,540
659,16.3,2380,595
660,13.1,1350,600
661,11.5,3176,765
662,19.7,1530,570
663,6.3,1544,500
664,7.8,900,400
665,13.2,1100,600
666,15.0,1800,630
667,16.6,1250,500
668,11.7,1125,700
669,5.9,882,500
670,15.6,1820,630
671,13.6,2450,750
672,23.6,1800,600
673,14.1,800,650
674,14.8,1500,500
675,16.9,2941,495
676,17.0,2180,500
677,11.4,2210,600
678,19.4,2948,540
679,22.0,1425,500
680,18.7,500,500
681,13.8,800,500
682,12.6,1344,500
683,16.5,3300,750
684,21.0,2850,500
685,19.7,3140,650
686,25.3,1200,452
687,7.5,700,1300
688,11.2,1171,646
689,10.3,810,450
690,11.5,2350,1200
691,12.8,3093,858
692,9.9,990,500
693,9.5,1000,500
694,9.0,2172,708
695,23.4,1387,541
696,21.0,1750,376
697,15.2,1960,550
698,23.1,1200,300
699,22.2,1200,475
700,11.5,1545,535
701,15.9,1980,570
702,15.1,1500,600
703,17.4,1000,500
704,11.6,800,500
705,10.5,750,450
706,14.9,2000,600
707,14.2,800,500
708,5.8,952,630
709,9.7,800,600
710,13.4,300,400
711,8.7,3630,500
712,16.0,600,500
713,13.8,2200,740
714,13.7,1763,500
715,15.7,550,500
716,10.7,2245,500
717,22.9,1200,500
718,9.9,635,500
719,13.2,1700,585
720,4.3,1250,500
721,11.3,1450,500
722,11.4,1100,400
723,12.4,850,400
724,12.1,500,300
725,9.6,1115,680
726,11.2,300,500
727,16.9,2719,800
728,3.9,1512,768
729,20.3,1660,540
730,16.2,1200,500
731,15.1,1952,650
732,20.6,500,500
733,10.6,700,500
734,8.3,500,600
735,15.4,920,850
736,14.4,1350,500
737,12.1,1400,1400
738,15.3,2000,400
739,16.3,1210,600
740,16.4,1100,450
741,14.6,1622,110
742,12.5,1400,500
743,24.7,1700,500
744,15.4,2065,498
745,19.4,2050,500
746,22.7,2385,639
747,15.7,1300,500
748,12.5,1650,600
749,12.5,685,430
750,10.5,2025,600
751,14.9,1410,490
752,12.7,1400,530
753,13.2,850,700
754,14.1,600,600
755,10.5,800,750
756,13.6,1998,500
757,16.9,2424,678
758,12.6,1350,500
759,13.3,1260,550
760,13.3,790,400
761,11.2,2600,500
762,12.9,3700,550
763,9.0,1200,500
764,8.3,475,450
765,13.9,1550,550
766,20.2,1200,300
767,12.8,2150,580
768,8.5,1400,500
769,12.8,800,400
770,15.3,1440,605
771,15.2,730,530
772,21.0,1200,500
773,13.3,1250,600
774,14.4,781,617
775,5.8,2115,630
776,18.1,1250,500
